datasetName,errorType,feature,modelName,percentage,epc_at
water_potability.csv,Noisy,Chloramines,RidgeClassifier,0.6,0.7596
water_potability.csv,Missing,Chloramines,MLPClassifier,0.4,0.7597
water_potability.csv,Noisy,Solids,RandomForestClassifier,0.8,0.7607
water_potability.csv,Noisy,Trihalomethanes,QuadraticDiscriminantAnalysis,0.8,0.7611
water_potability.csv,Noisy,Solids,QuadraticDiscriminantAnalysis,0.8,0.7616
water_potability.csv,Outlier,Sulfate,RidgeClassifier,0.6,0.7631
water_potability.csv,Outlier,Chloramines,LinearDiscriminantAnalysis,0.6,0.7653
water_potability.csv,Noisy,Solids,GradientBoostingClassifier,0.8,0.7663
water_potability.csv,Outlier,Hardness,RandomForestClassifier,0.8,0.7681
water_potability.csv,Outlier,Conductivity,RidgeClassifier,0.6,0.7694
water_potability.csv,Missing,Trihalomethanes,MLPClassifier,0.6,0.7694
water_potability.csv,Noisy,Trihalomethanes,AdaBoostClassifier,0.4,0.77
water_potability.csv,Outlier,Turbidity,LinearDiscriminantAnalysis,0.6,0.7705
water_potability.csv,Outlier,Conductivity,LinearDiscriminantAnalysis,0.6,0.772
water_potability.csv,Labels,Potability,LinearDiscriminantAnalysis,0.4,0.772
water_potability.csv,Outlier,Conductivity,LogisticRegression,0.6,0.7734
water_potability.csv,Outlier,Solids,RidgeClassifier,0.6,0.7734
water_potability.csv,Noisy,Chloramines,AdaBoostClassifier,0.6,0.7739
water_potability.csv,Noisy,Trihalomethanes,KNeighborsClassifier,0.8,0.774
water_potability.csv,Noisy,Solids,AdaBoostClassifier,0.6,0.7743
water_potability.csv,Outlier,Chloramines,LogisticRegression,0.6,0.7744
water_potability.csv,Outlier,Trihalomethanes,GaussianNB,0.6,0.7746
water_potability.csv,Noisy,Turbidity,KNeighborsClassifier,0.6,0.7746
water_potability.csv,Noisy,Turbidity,MLPClassifier,0.6,0.7746
water_potability.csv,Outlier,Turbidity,GaussianNB,0.6,0.7746
water_potability.csv,Noisy,Chloramines,GaussianProcessClassifier,0.6,0.7746
water_potability.csv,Noisy,Organic_carbon,GaussianProcessClassifier,0.6,0.7746
water_potability.csv,Noisy,Organic_carbon,KNeighborsClassifier,0.6,0.7746
water_potability.csv,Noisy,Sulfate,GaussianNB,0.8,0.7754
water_potability.csv,Outlier,Conductivity,GaussianNB,0.8,0.7756
water_potability.csv,Noisy,Sulfate,ExtraTreesClassifier,0.6,0.776
