",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
42,recruitment_data.csv,Outlier,0.6,DistanceFromCompany,LogisticRegression,0.86,0.3763,0.7204,0.8072,0.7614
43,recruitment_data.csv,Outlier,0.6,DistanceFromCompany,DecisionTreeClassifier,0.9233,0.5,0.828,0.9167,0.8701
44,recruitment_data.csv,Outlier,0.6,DistanceFromCompany,QuadraticDiscriminantAnalysis,0.8367,0.3881,0.7097,0.75,0.7293
45,recruitment_data.csv,Outlier,0.6,DistanceFromCompany,MLPClassifier,0.8167,0.4064,0.6774,0.7159,0.6961
46,recruitment_data.csv,Outlier,0.6,DistanceFromCompany,SGDClassifier,0.58,,0.914,0.4187,0.5743
47,recruitment_data.csv,Outlier,0.6,DistanceFromCompany,SVC,0.69,0.5042,0.0,0.0,0.0
48,recruitment_data.csv,Outlier,0.6,DistanceFromCompany,DummyClassifier,0.69,0.5,0.0,0.0,0.0
49,recruitment_data.csv,Outlier,0.6,DistanceFromCompany,KNeighborsClassifier,0.7233,0.3881,0.3441,0.5926,0.4354
50,recruitment_data.csv,Outlier,0.6,DistanceFromCompany,GaussianProcessClassifier,0.6367,0.5,0.3978,0.4111,0.4044
51,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,CatBoostClassifier,0.9567,0.3546,0.8817,0.9762,0.9266
52,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,GradientBoostingClassifier,0.9333,0.3619,0.8172,0.962,0.8837
53,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,RandomForestClassifier,0.9033,0.2513,0.7419,0.9324,0.8263
54,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,AdaBoostClassifier,0.9,0.3255,0.7419,0.92,0.8214
55,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,ExtraTreesClassifier,0.8967,0.2884,0.7312,0.9189,0.8144
56,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,GaussianNB,0.8633,0.2735,0.6774,0.8514,0.7545
57,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,RidgeClassifier,0.8633,,0.6989,0.8333,0.7602
58,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,LinearDiscriminantAnalysis,0.8567,0.3813,0.7204,0.7976,0.7571
59,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,LogisticRegression,0.86,0.3754,0.7204,0.8072,0.7614
60,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,QuadraticDiscriminantAnalysis,0.8433,0.391,0.7204,0.7614,0.7403
61,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,DecisionTreeClassifier,0.9,0.5,0.8172,0.8539,0.8352
62,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,MLPClassifier,0.7667,0.4723,0.7097,0.6055,0.6535
63,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,KNeighborsClassifier,0.7033,0.3482,0.3656,0.5312,0.4331
64,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,SVC,0.69,0.5097,0.0,0.0,0.0
65,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,DummyClassifier,0.69,0.5,0.0,0.0,0.0
66,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,SGDClassifier,0.7967,,0.5161,0.75,0.6115
67,recruitment_data.csv,Outlier,0.8,DistanceFromCompany,GaussianProcessClassifier,0.65,0.5,0.4086,0.4318,0.4199
68,recruitment_data.csv,Outlier,0.2,Age,CatBoostClassifier,0.96,0.4256,0.9032,0.9655,0.9333
69,recruitment_data.csv,Outlier,0.2,Age,GradientBoostingClassifier,0.9367,0.4137,0.8495,0.9405,0.8927
70,recruitment_data.csv,Outlier,0.2,Age,RandomForestClassifier,0.9033,0.2958,0.7634,0.9103,0.8304
71,recruitment_data.csv,Outlier,0.2,Age,ExtraTreesClassifier,0.8933,0.2902,0.7419,0.8961,0.8118
72,recruitment_data.csv,Outlier,0.2,Age,AdaBoostClassifier,0.8833,0.4122,0.8065,0.8152,0.8108
73,recruitment_data.csv,Outlier,0.2,Age,GaussianNB,0.8567,0.2851,0.6989,0.8125,0.7514
74,recruitment_data.csv,Outlier,0.2,Age,LinearDiscriminantAnalysis,0.8433,0.3708,0.6989,0.7738,0.7345
75,recruitment_data.csv,Outlier,0.2,Age,RidgeClassifier,0.8567,,0.6989,0.8125,0.7514
76,recruitment_data.csv,Outlier,0.2,Age,LogisticRegression,0.8467,0.3682,0.6989,0.7831,0.7386
77,recruitment_data.csv,Outlier,0.2,Age,DecisionTreeClassifier,0.9233,0.5,0.8817,0.8723,0.877
78,recruitment_data.csv,Outlier,0.2,Age,QuadraticDiscriminantAnalysis,0.86,0.3786,0.7527,0.7865,0.7692
79,recruitment_data.csv,Outlier,0.2,Age,MLPClassifier,0.8467,0.4314,0.7742,0.7423,0.7579
80,recruitment_data.csv,Outlier,0.2,Age,SVC,0.69,0.5185,0.0,0.0,0.0
81,recruitment_data.csv,Outlier,0.2,Age,DummyClassifier,0.69,0.5,0.0,0.0,0.0
82,recruitment_data.csv,Outlier,0.2,Age,KNeighborsClassifier,0.6867,0.4637,0.3978,0.4933,0.4405
83,recruitment_data.csv,Outlier,0.2,Age,SGDClassifier,0.7967,,0.5591,0.7222,0.6303
84,recruitment_data.csv,Outlier,0.2,Age,GaussianProcessClassifier,0.64,0.5,0.4194,0.4194,0.4194
85,recruitment_data.csv,Outlier,0.4,Age,CatBoostClassifier,0.9567,0.4201,0.8925,0.9651,0.9274
86,recruitment_data.csv,Outlier,0.4,Age,GradientBoostingClassifier,0.9367,0.4013,0.8495,0.9405,0.8927
87,recruitment_data.csv,Outlier,0.4,Age,RandomForestClassifier,0.92,0.3085,0.7957,0.9367,0.8605
88,recruitment_data.csv,Outlier,0.4,Age,ExtraTreesClassifier,0.8967,0.3113,0.7527,0.8974,0.8187
89,recruitment_data.csv,Outlier,0.4,Age,AdaBoostClassifier,0.8967,0.4059,0.8065,0.8523,0.8287
90,recruitment_data.csv,Outlier,0.4,Age,GaussianNB,0.8567,0.2824,0.6989,0.8125,0.7514
91,recruitment_data.csv,Outlier,0.4,Age,RidgeClassifier,0.8533,,0.6989,0.8025,0.7471
92,recruitment_data.csv,Outlier,0.4,Age,LinearDiscriminantAnalysis,0.8467,0.3723,0.6989,0.7831,0.7386
93,recruitment_data.csv,Outlier,0.4,Age,LogisticRegression,0.8467,0.3702,0.6989,0.7831,0.7386
94,recruitment_data.csv,Outlier,0.4,Age,QuadraticDiscriminantAnalysis,0.8567,0.3776,0.7527,0.7778,0.765
95,recruitment_data.csv,Outlier,0.4,Age,DecisionTreeClassifier,0.8967,0.5,0.8495,0.8229,0.836
96,recruitment_data.csv,Outlier,0.4,Age,MLPClassifier,0.8467,0.3967,0.7419,0.7582,0.75
97,recruitment_data.csv,Outlier,0.4,Age,SVC,0.69,0.507,0.0,0.0,0.0
98,recruitment_data.csv,Outlier,0.4,Age,DummyClassifier,0.69,0.5,0.0,0.0,0.0
99,recruitment_data.csv,Outlier,0.4,Age,KNeighborsClassifier,0.7033,0.4127,0.3656,0.5312,0.4331
100,recruitment_data.csv,Outlier,0.4,Age,SGDClassifier,0.77,,0.2688,0.9615,0.4202
101,recruitment_data.csv,Outlier,0.4,Age,GaussianProcessClassifier,0.6133,0.5,0.3656,0.3736,0.3696
102,recruitment_data.csv,Outlier,0.6,Age,CatBoostClassifier,0.9533,0.388,0.8925,0.954,0.9222
103,recruitment_data.csv,Outlier,0.6,Age,GradientBoostingClassifier,0.9367,0.382,0.8387,0.9512,0.8914
104,recruitment_data.csv,Outlier,0.6,Age,RandomForestClassifier,0.91,0.2792,0.7742,0.9231,0.8421
105,recruitment_data.csv,Outlier,0.6,Age,AdaBoostClassifier,0.9167,0.323,0.828,0.8953,0.8603
106,recruitment_data.csv,Outlier,0.6,Age,ExtraTreesClassifier,0.8967,0.2614,0.7419,0.9079,0.8166
107,recruitment_data.csv,Outlier,0.6,Age,GaussianNB,0.8567,0.2753,0.6882,0.8205,0.7485
108,recruitment_data.csv,Outlier,0.6,Age,DecisionTreeClassifier,0.9267,0.5,0.8495,0.908,0.8778
109,recruitment_data.csv,Outlier,0.6,Age,RidgeClassifier,0.8533,,0.6989,0.8025,0.7471
110,recruitment_data.csv,Outlier,0.6,Age,LinearDiscriminantAnalysis,0.8467,0.3727,0.6989,0.7831,0.7386
111,recruitment_data.csv,Outlier,0.6,Age,QuadraticDiscriminantAnalysis,0.8567,0.3714,0.7419,0.7841,0.7624
112,recruitment_data.csv,Outlier,0.6,Age,LogisticRegression,0.8467,0.3719,0.6989,0.7831,0.7386
113,recruitment_data.csv,Outlier,0.6,Age,MLPClassifier,0.8167,0.484,0.7527,0.6863,0.7179
114,recruitment_data.csv,Outlier,0.6,Age,SVC,0.69,0.5096,0.0,0.0,0.0
115,recruitment_data.csv,Outlier,0.6,Age,DummyClassifier,0.69,0.5,0.0,0.0,0.0
116,recruitment_data.csv,Outlier,0.6,Age,SGDClassifier,0.5833,,0.9462,0.4231,0.5847
117,recruitment_data.csv,Outlier,0.6,Age,KNeighborsClassifier,0.72,0.3787,0.3441,0.5818,0.4324
118,recruitment_data.csv,Outlier,0.6,Age,GaussianProcessClassifier,0.64,0.5,0.4086,0.4176,0.413
119,recruitment_data.csv,Outlier,0.8,Age,CatBoostClassifier,0.9567,0.3887,0.8925,0.9651,0.9274
120,recruitment_data.csv,Outlier,0.8,Age,GradientBoostingClassifier,0.9367,0.3604,0.8387,0.9512,0.8914
121,recruitment_data.csv,Outlier,0.8,Age,RandomForestClassifier,0.9167,0.263,0.7634,0.9595,0.8503
122,recruitment_data.csv,Outlier,0.8,Age,AdaBoostClassifier,0.9067,0.3257,0.8065,0.8824,0.8427
123,recruitment_data.csv,Outlier,0.8,Age,ExtraTreesClassifier,0.8933,0.2707,0.7419,0.8961,0.8118
124,recruitment_data.csv,Outlier,0.8,Age,RidgeClassifier,0.8567,,0.6989,0.8125,0.7514
125,recruitment_data.csv,Outlier,0.8,Age,GaussianNB,0.8467,0.2652,0.6667,0.8052,0.7294
126,recruitment_data.csv,Outlier,0.8,Age,LinearDiscriminantAnalysis,0.85,0.3651,0.6989,0.7927,0.7429
127,recruitment_data.csv,Outlier,0.8,Age,LogisticRegression,0.8467,0.365,0.6989,0.7831,0.7386
128,recruitment_data.csv,Outlier,0.8,Age,DecisionTreeClassifier,0.93,0.5,0.8925,0.883,0.8877
129,recruitment_data.csv,Outlier,0.8,Age,QuadraticDiscriminantAnalysis,0.86,0.3628,0.7419,0.7931,0.7667
130,recruitment_data.csv,Outlier,0.8,Age,MLPClassifier,0.7967,0.494,0.7419,0.6509,0.6935
131,recruitment_data.csv,Outlier,0.8,Age,SGDClassifier,0.7767,,0.3333,0.8611,0.4806
132,recruitment_data.csv,Outlier,0.8,Age,SVC,0.69,0.5097,0.0,0.0,0.0
133,recruitment_data.csv,Outlier,0.8,Age,DummyClassifier,0.69,0.5,0.0,0.0,0.0
