",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
49,water_potability.csv,Missing,0.4,ph,MLPClassifier,0.5107,0.5177,0.6939,0.4087,0.5144
50,water_potability.csv,Missing,0.4,ph,SGDClassifier,0.6265,,0.0,0.0,0.0
51,water_potability.csv,Missing,0.6,ph,RidgeClassifier,0.8491,,0.7959,0.7992,0.7975
52,water_potability.csv,Missing,0.6,ph,LinearDiscriminantAnalysis,0.8491,0.4276,0.7959,0.7992,0.7975
53,water_potability.csv,Missing,0.6,ph,LogisticRegression,0.8552,0.4498,0.8245,0.7953,0.8096
54,water_potability.csv,Missing,0.6,ph,GaussianNB,0.8552,0.5144,0.8082,0.8049,0.8065
55,water_potability.csv,Missing,0.6,ph,QuadraticDiscriminantAnalysis,0.8384,0.5216,0.7796,0.786,0.7828
56,water_potability.csv,Missing,0.6,ph,CatBoostClassifier,0.8491,0.4253,0.7959,0.7992,0.7975
57,water_potability.csv,Missing,0.6,ph,GradientBoostingClassifier,0.846,0.4068,0.8122,0.7835,0.7976
58,water_potability.csv,Missing,0.6,ph,RandomForestClassifier,0.8552,0.4408,0.8286,0.793,0.8104
59,water_potability.csv,Missing,0.6,ph,ExtraTreesClassifier,0.8598,0.411,0.8041,0.8174,0.8107
60,water_potability.csv,Missing,0.6,ph,AdaBoostClassifier,0.846,0.4496,0.8041,0.788,0.796
61,water_potability.csv,Missing,0.6,ph,DecisionTreeClassifier,0.7988,0.5,0.7714,0.7132,0.7412
62,water_potability.csv,Missing,0.6,ph,KNeighborsClassifier,0.6463,0.4499,0.5102,0.5274,0.5187
63,water_potability.csv,Missing,0.6,ph,GaussianProcessClassifier,0.6296,0.5,0.5265,0.5039,0.515
64,water_potability.csv,Missing,0.6,ph,SVC,0.6265,0.5197,0.0,0.0,0.0
65,water_potability.csv,Missing,0.6,ph,DummyClassifier,0.6265,0.5,0.0,0.0,0.0
66,water_potability.csv,Missing,0.6,ph,MLPClassifier,0.5122,0.5115,0.698,0.4101,0.5166
67,water_potability.csv,Missing,0.6,ph,SGDClassifier,0.6265,,0.0,0.0,0.0
68,water_potability.csv,Missing,0.8,ph,LinearDiscriminantAnalysis,0.8506,0.431,0.8041,0.7976,0.8008
69,water_potability.csv,Missing,0.8,ph,LogisticRegression,0.8521,0.4458,0.8122,0.796,0.804
70,water_potability.csv,Missing,0.8,ph,RidgeClassifier,0.8476,,0.7959,0.7959,0.7959
71,water_potability.csv,Missing,0.8,ph,GaussianNB,0.8415,0.556,0.8122,0.7743,0.7928
72,water_potability.csv,Missing,0.8,ph,QuadraticDiscriminantAnalysis,0.8338,0.5411,0.7959,0.7677,0.7816
73,water_potability.csv,Missing,0.8,ph,RandomForestClassifier,0.8552,0.4471,0.8245,0.7953,0.8096
74,water_potability.csv,Missing,0.8,ph,GradientBoostingClassifier,0.846,0.3894,0.7918,0.7951,0.7935
75,water_potability.csv,Missing,0.8,ph,CatBoostClassifier,0.8582,0.3911,0.8122,0.8089,0.8106
76,water_potability.csv,Missing,0.8,ph,ExtraTreesClassifier,0.8567,0.3909,0.7959,0.8159,0.8058
77,water_potability.csv,Missing,0.8,ph,AdaBoostClassifier,0.8384,0.3895,0.7918,0.7791,0.7854
78,water_potability.csv,Missing,0.8,ph,DecisionTreeClassifier,0.7652,0.5,0.7184,0.6743,0.6957
79,water_potability.csv,Missing,0.8,ph,KNeighborsClassifier,0.6463,0.4499,0.5102,0.5274,0.5187
80,water_potability.csv,Missing,0.8,ph,GaussianProcessClassifier,0.6296,0.5,0.5265,0.5039,0.515
81,water_potability.csv,Missing,0.8,ph,SVC,0.6265,0.5191,0.0,0.0,0.0
82,water_potability.csv,Missing,0.8,ph,DummyClassifier,0.6265,0.5,0.0,0.0,0.0
83,water_potability.csv,Missing,0.8,ph,MLPClassifier,0.4939,0.5058,0.6735,0.3957,0.4985
84,water_potability.csv,Missing,0.8,ph,SGDClassifier,0.6265,,0.0,0.0,0.0
85,water_potability.csv,Missing,0.2,Hardness,QuadraticDiscriminantAnalysis,0.8521,0.3962,0.7959,0.8058,0.8008
86,water_potability.csv,Missing,0.2,Hardness,LinearDiscriminantAnalysis,0.8643,0.4183,0.8122,0.8223,0.8172
87,water_potability.csv,Missing,0.2,Hardness,ExtraTreesClassifier,0.8491,0.4051,0.7755,0.812,0.7933
88,water_potability.csv,Missing,0.2,Hardness,RidgeClassifier,0.8643,,0.8122,0.8223,0.8172
89,water_potability.csv,Missing,0.2,Hardness,GaussianNB,0.8582,0.4025,0.8,0.8167,0.8082
90,water_potability.csv,Missing,0.2,Hardness,LogisticRegression,0.8567,0.4085,0.8,0.8133,0.8066
91,water_potability.csv,Missing,0.2,Hardness,RandomForestClassifier,0.8567,0.4315,0.7837,0.824,0.8033
92,water_potability.csv,Missing,0.2,Hardness,CatBoostClassifier,0.8521,0.4449,0.8041,0.8008,0.8024
93,water_potability.csv,Missing,0.2,Hardness,GradientBoostingClassifier,0.8506,0.4033,0.8,0.8,0.8
94,water_potability.csv,Missing,0.2,Hardness,AdaBoostClassifier,0.8308,0.4693,0.7918,0.7638,0.7776
95,water_potability.csv,Missing,0.2,Hardness,DecisionTreeClassifier,0.8079,0.5,0.7714,0.7297,0.75
96,water_potability.csv,Missing,0.2,Hardness,KNeighborsClassifier,0.6341,0.435,0.4694,0.5111,0.4894
97,water_potability.csv,Missing,0.2,Hardness,GaussianProcessClassifier,0.6113,0.5,0.4939,0.4802,0.4869
98,water_potability.csv,Missing,0.2,Hardness,SVC,0.6265,0.5104,0.0,0.0,0.0
99,water_potability.csv,Missing,0.2,Hardness,DummyClassifier,0.6265,0.5,0.0,0.0,0.0
100,water_potability.csv,Missing,0.2,Hardness,MLPClassifier,0.4588,0.5294,0.7714,0.3873,0.5157
101,water_potability.csv,Missing,0.2,Hardness,SGDClassifier,0.6265,,0.0,0.0,0.0
102,water_potability.csv,Missing,0.4,Hardness,RidgeClassifier,0.8613,,0.8082,0.8182,0.8131
103,water_potability.csv,Missing,0.4,Hardness,QuadraticDiscriminantAnalysis,0.8537,0.4099,0.8,0.8066,0.8033
104,water_potability.csv,Missing,0.4,Hardness,LinearDiscriminantAnalysis,0.8643,0.4195,0.8163,0.8197,0.818
105,water_potability.csv,Missing,0.4,Hardness,LogisticRegression,0.8582,0.4126,0.8082,0.8115,0.8098
106,water_potability.csv,Missing,0.4,Hardness,GaussianNB,0.8598,0.4118,0.8082,0.8148,0.8115
107,water_potability.csv,Missing,0.4,Hardness,CatBoostClassifier,0.8506,0.4342,0.8041,0.7976,0.8008
108,water_potability.csv,Missing,0.4,Hardness,RandomForestClassifier,0.8506,0.4309,0.7918,0.805,0.7984
109,water_potability.csv,Missing,0.4,Hardness,ExtraTreesClassifier,0.8628,0.3946,0.7959,0.8298,0.8125
110,water_potability.csv,Missing,0.4,Hardness,GradientBoostingClassifier,0.8476,0.3857,0.8,0.7935,0.7967
111,water_potability.csv,Missing,0.4,Hardness,AdaBoostClassifier,0.8247,0.4704,0.7796,0.7579,0.7686
112,water_potability.csv,Missing,0.4,Hardness,DecisionTreeClassifier,0.811,0.5,0.8082,0.72,0.7615
113,water_potability.csv,Missing,0.4,Hardness,KNeighborsClassifier,0.6174,0.44,0.4653,0.4872,0.476
114,water_potability.csv,Missing,0.4,Hardness,SVC,0.6265,0.4827,0.0,0.0,0.0
115,water_potability.csv,Missing,0.4,Hardness,DummyClassifier,0.6265,0.5,0.0,0.0,0.0
116,water_potability.csv,Missing,0.4,Hardness,GaussianProcessClassifier,0.6082,0.5,0.502,0.4767,0.4891
117,water_potability.csv,Missing,0.4,Hardness,MLPClassifier,0.4405,0.519,0.8571,0.3875,0.5337
