",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
48,Employee.csv,Missing,0.4,JoiningYear,MLPClassifier,0.6745,0.333,0.0,0.0,0.0
49,Employee.csv,Missing,0.4,JoiningYear,QuadraticDiscriminantAnalysis,0.7121,0.4343,0.505,0.5646,0.5331
50,Employee.csv,Missing,0.4,JoiningYear,SGDClassifier,0.6745,,0.0,0.0,0.0
51,Employee.csv,Missing,0.6,JoiningYear,CatBoostClassifier,0.826,0.6205,0.6436,0.7831,0.7065
52,Employee.csv,Missing,0.6,JoiningYear,GradientBoostingClassifier,0.8314,0.6048,0.6436,0.7992,0.713
53,Employee.csv,Missing,0.6,JoiningYear,SVC,0.7895,0.4907,0.5677,0.7257,0.637
54,Employee.csv,Missing,0.6,JoiningYear,RandomForestClassifier,0.783,0.5875,0.6667,0.6667,0.6667
55,Employee.csv,Missing,0.6,JoiningYear,GaussianProcessClassifier,0.7755,0.3895,0.5248,0.7098,0.6034
56,Employee.csv,Missing,0.6,JoiningYear,ExtraTreesClassifier,0.7927,0.5281,0.6601,0.6897,0.6745
57,Employee.csv,Missing,0.6,JoiningYear,DecisionTreeClassifier,0.7605,0.5306,0.6535,0.6266,0.6397
58,Employee.csv,Missing,0.6,JoiningYear,AdaBoostClassifier,0.7884,0.4391,0.5083,0.7624,0.6099
59,Employee.csv,Missing,0.6,JoiningYear,KNeighborsClassifier,0.754,0.4373,0.5215,0.6529,0.5798
60,Employee.csv,Missing,0.6,JoiningYear,LogisticRegression,0.7229,0.3871,0.4257,0.6056,0.5
61,Employee.csv,Missing,0.6,JoiningYear,LinearDiscriminantAnalysis,0.7164,0.3634,0.4389,0.5859,0.5019
62,Employee.csv,Missing,0.6,JoiningYear,RidgeClassifier,0.7207,,0.429,0.5991,0.5
63,Employee.csv,Missing,0.6,JoiningYear,GaussianNB,0.6992,0.4353,0.5842,0.5347,0.5584
64,Employee.csv,Missing,0.6,JoiningYear,DummyClassifier,0.6745,0.5,0.0,0.0,0.0
65,Employee.csv,Missing,0.6,JoiningYear,MLPClassifier,0.6745,0.333,0.0,0.0,0.0
66,Employee.csv,Missing,0.6,JoiningYear,QuadraticDiscriminantAnalysis,0.6509,0.5958,0.6634,0.4741,0.553
67,Employee.csv,Missing,0.6,JoiningYear,SGDClassifier,0.6745,,0.0,0.0,0.0
68,Employee.csv,Missing,0.8,JoiningYear,CatBoostClassifier,0.8378,0.5965,0.6304,0.8304,0.7167
69,Employee.csv,Missing,0.8,JoiningYear,GradientBoostingClassifier,0.8292,0.5982,0.5776,0.8495,0.6876
70,Employee.csv,Missing,0.8,JoiningYear,GaussianProcessClassifier,0.7648,0.383,0.4818,0.7019,0.5714
71,Employee.csv,Missing,0.8,JoiningYear,SVC,0.7594,0.4427,0.4686,0.6927,0.5591
72,Employee.csv,Missing,0.8,JoiningYear,RandomForestClassifier,0.8034,0.5518,0.6634,0.7128,0.6872
73,Employee.csv,Missing,0.8,JoiningYear,ExtraTreesClassifier,0.7723,0.5074,0.6073,0.6643,0.6345
74,Employee.csv,Missing,0.8,JoiningYear,DecisionTreeClassifier,0.7605,0.5375,0.6667,0.6235,0.6443
75,Employee.csv,Missing,0.8,JoiningYear,AdaBoostClassifier,0.8099,0.4324,0.5017,0.8539,0.632
76,Employee.csv,Missing,0.8,JoiningYear,LinearDiscriminantAnalysis,0.7218,0.3658,0.4356,0.6,0.5048
77,Employee.csv,Missing,0.8,JoiningYear,LogisticRegression,0.7218,0.3871,0.4257,0.6028,0.499
78,Employee.csv,Missing,0.8,JoiningYear,RidgeClassifier,0.7261,,0.4257,0.6143,0.5029
79,Employee.csv,Missing,0.8,JoiningYear,KNeighborsClassifier,0.7476,0.4472,0.4389,0.6717,0.5309
80,Employee.csv,Missing,0.8,JoiningYear,GaussianNB,0.695,0.4638,0.604,0.5274,0.5631
81,Employee.csv,Missing,0.8,JoiningYear,DummyClassifier,0.6745,0.5,0.0,0.0,0.0
82,Employee.csv,Missing,0.8,JoiningYear,MLPClassifier,0.6745,0.3328,0.0,0.0,0.0
83,Employee.csv,Missing,0.8,JoiningYear,QuadraticDiscriminantAnalysis,0.6638,0.6766,0.769,0.4895,0.5982
84,Employee.csv,Missing,0.8,JoiningYear,SGDClassifier,0.6745,,0.0,0.0,0.0
85,Employee.csv,Missing,0.2,Age,GradientBoostingClassifier,0.8217,0.5985,0.6304,0.7796,0.6971
86,Employee.csv,Missing,0.2,Age,CatBoostClassifier,0.8389,0.6285,0.6733,0.8,0.7312
87,Employee.csv,Missing,0.2,Age,RandomForestClassifier,0.8077,0.5985,0.6898,0.7109,0.7002
88,Employee.csv,Missing,0.2,Age,SVC,0.8002,0.5234,0.5743,0.7532,0.6517
89,Employee.csv,Missing,0.2,Age,ExtraTreesClassifier,0.7948,0.5389,0.6766,0.6879,0.6822
90,Employee.csv,Missing,0.2,Age,GaussianProcessClassifier,0.7916,0.4237,0.5413,0.7489,0.6284
91,Employee.csv,Missing,0.2,Age,AdaBoostClassifier,0.7938,0.4654,0.5446,0.7534,0.6322
92,Employee.csv,Missing,0.2,Age,DecisionTreeClassifier,0.782,0.5498,0.6799,0.6603,0.6699
93,Employee.csv,Missing,0.2,Age,KNeighborsClassifier,0.7562,0.48,0.5347,0.6532,0.588
94,Employee.csv,Missing,0.2,Age,LinearDiscriminantAnalysis,0.724,0.3699,0.4389,0.6045,0.5086
95,Employee.csv,Missing,0.2,Age,RidgeClassifier,0.724,,0.4323,0.6065,0.5048
96,Employee.csv,Missing,0.2,Age,LogisticRegression,0.7229,0.3879,0.4257,0.6056,0.5
97,Employee.csv,Missing,0.2,Age,GaussianNB,0.6896,0.4186,0.5215,0.5232,0.5223
98,Employee.csv,Missing,0.2,Age,DummyClassifier,0.6745,0.5,0.0,0.0,0.0
99,Employee.csv,Missing,0.2,Age,MLPClassifier,0.6745,0.3355,0.0,0.0,0.0
100,Employee.csv,Missing,0.2,Age,QuadraticDiscriminantAnalysis,0.6971,0.5148,0.5479,0.5338,0.5407
101,Employee.csv,Missing,0.2,Age,SGDClassifier,0.6745,,0.0,0.0,0.0
102,Employee.csv,Missing,0.4,Age,CatBoostClassifier,0.8324,0.6282,0.6766,0.7795,0.7244
103,Employee.csv,Missing,0.4,Age,GradientBoostingClassifier,0.8238,0.5886,0.6139,0.7983,0.694
104,Employee.csv,Missing,0.4,Age,RandomForestClassifier,0.7959,0.6002,0.67,0.6928,0.6812
105,Employee.csv,Missing,0.4,Age,SVC,0.8067,0.5356,0.5809,0.7686,0.6617
106,Employee.csv,Missing,0.4,Age,ExtraTreesClassifier,0.797,0.5347,0.6634,0.6979,0.6802
107,Employee.csv,Missing,0.4,Age,GaussianProcessClassifier,0.7873,0.4217,0.5314,0.7419,0.6192
108,Employee.csv,Missing,0.4,Age,DecisionTreeClassifier,0.7787,0.5388,0.6502,0.6633,0.6567
109,Employee.csv,Missing,0.4,Age,AdaBoostClassifier,0.797,0.4599,0.5611,0.7522,0.6427
110,Employee.csv,Missing,0.4,Age,KNeighborsClassifier,0.7734,0.4734,0.538,0.6966,0.6071
111,Employee.csv,Missing,0.4,Age,LinearDiscriminantAnalysis,0.7229,0.3708,0.4389,0.6018,0.5076
112,Employee.csv,Missing,0.4,Age,RidgeClassifier,0.724,,0.4323,0.6065,0.5048
113,Employee.csv,Missing,0.4,Age,LogisticRegression,0.7229,0.3883,0.4257,0.6056,0.5
114,Employee.csv,Missing,0.4,Age,GaussianNB,0.6896,0.4179,0.5215,0.5232,0.5223
115,Employee.csv,Missing,0.4,Age,MLPClassifier,0.7121,0.4876,0.4752,0.5692,0.518
116,Employee.csv,Missing,0.4,Age,DummyClassifier,0.6745,0.5,0.0,0.0,0.0
117,Employee.csv,Missing,0.4,Age,QuadraticDiscriminantAnalysis,0.7003,0.5346,0.5743,0.537,0.555
118,Employee.csv,Missing,0.4,Age,SGDClassifier,0.6745,,0.0,0.0,0.0
119,Employee.csv,Missing,0.6,Age,CatBoostClassifier,0.8292,0.6212,0.6535,0.7857,0.7135
120,Employee.csv,Missing,0.6,Age,GradientBoostingClassifier,0.8195,0.5889,0.6205,0.7801,0.6912
121,Employee.csv,Missing,0.6,Age,RandomForestClassifier,0.7927,0.5914,0.6502,0.6937,0.6712
122,Employee.csv,Missing,0.6,Age,ExtraTreesClassifier,0.7916,0.5186,0.6535,0.6899,0.6712
123,Employee.csv,Missing,0.6,Age,SVC,0.7959,0.5105,0.5413,0.7628,0.6332
124,Employee.csv,Missing,0.6,Age,GaussianProcessClassifier,0.7701,0.4065,0.4983,0.7089,0.5853
125,Employee.csv,Missing,0.6,Age,DecisionTreeClassifier,0.7787,0.5315,0.6271,0.6714,0.6485
126,Employee.csv,Missing,0.6,Age,AdaBoostClassifier,0.8013,0.4714,0.5611,0.7658,0.6476
127,Employee.csv,Missing,0.6,Age,KNeighborsClassifier,0.7551,0.442,0.5116,0.6596,0.5762
128,Employee.csv,Missing,0.6,Age,LinearDiscriminantAnalysis,0.724,0.3681,0.4389,0.6045,0.5086
129,Employee.csv,Missing,0.6,Age,RidgeClassifier,0.7282,,0.4323,0.6179,0.5087
130,Employee.csv,Missing,0.6,Age,LogisticRegression,0.7218,0.3893,0.4224,0.6038,0.4971
131,Employee.csv,Missing,0.6,Age,GaussianNB,0.6939,0.4099,0.5182,0.5304,0.5242
132,Employee.csv,Missing,0.6,Age,MLPClassifier,0.7261,0.392,0.3894,0.6277,0.4807
133,Employee.csv,Missing,0.6,Age,DummyClassifier,0.6745,0.5,0.0,0.0,0.0
