",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
53,citrus.csv,Missing,0.6,diameter,KNeighborsClassifier,1.0,0.5,1.0,1.0,1.0
54,citrus.csv,Missing,0.6,diameter,ExtraTreesClassifier,1.0,0.5217,1.0,1.0,1.0
55,citrus.csv,Missing,0.6,diameter,CatBoostClassifier,1.0,0.2151,1.0,1.0,1.0
56,citrus.csv,Missing,0.6,diameter,MLPClassifier,1.0,0.5067,1.0,1.0,1.0
57,citrus.csv,Missing,0.6,diameter,GaussianProcessClassifier,1.0,0.5027,1.0,1.0,1.0
58,citrus.csv,Missing,0.6,diameter,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
59,citrus.csv,Missing,0.6,diameter,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
60,citrus.csv,Missing,0.6,diameter,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
61,citrus.csv,Missing,0.6,diameter,RidgeClassifier,1.0,,1.0,1.0,1.0
62,citrus.csv,Missing,0.6,diameter,QuadraticDiscriminantAnalysis,1.0,0.519,1.0,1.0,1.0
63,citrus.csv,Missing,0.6,diameter,LinearDiscriminantAnalysis,1.0,0.4976,1.0,1.0,1.0
64,citrus.csv,Missing,0.6,diameter,GaussianNB,0.9525,0.4793,0.9591,0.949,0.954
65,citrus.csv,Missing,0.6,diameter,SGDClassifier,1.0,,1.0,1.0,1.0
66,citrus.csv,Missing,0.6,diameter,SVC,0.511,0.3254,0.0486,1.0,0.0928
67,citrus.csv,Missing,0.6,diameter,DummyClassifier,0.486,0.5,0.0,0.0,0.0
68,citrus.csv,Missing,0.8,diameter,LogisticRegression,1.0,0.5087,1.0,1.0,1.0
69,citrus.csv,Missing,0.8,diameter,ExtraTreesClassifier,0.9995,0.4993,0.999,1.0,0.9995
70,citrus.csv,Missing,0.8,diameter,KNeighborsClassifier,1.0,0.5,1.0,1.0,1.0
71,citrus.csv,Missing,0.8,diameter,CatBoostClassifier,1.0,0.2507,1.0,1.0,1.0
72,citrus.csv,Missing,0.8,diameter,RandomForestClassifier,1.0,0.5029,1.0,1.0,1.0
73,citrus.csv,Missing,0.8,diameter,GaussianProcessClassifier,1.0,0.5017,1.0,1.0,1.0
74,citrus.csv,Missing,0.8,diameter,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
75,citrus.csv,Missing,0.8,diameter,MLPClassifier,1.0,0.5062,1.0,1.0,1.0
76,citrus.csv,Missing,0.8,diameter,AdaBoostClassifier,1.0,0.5,1.0,1.0,1.0
77,citrus.csv,Missing,0.8,diameter,GradientBoostingClassifier,1.0,0.5,1.0,1.0,1.0
78,citrus.csv,Missing,0.8,diameter,RidgeClassifier,1.0,,1.0,1.0,1.0
79,citrus.csv,Missing,0.8,diameter,LinearDiscriminantAnalysis,1.0,0.4976,1.0,1.0,1.0
80,citrus.csv,Missing,0.8,diameter,QuadraticDiscriminantAnalysis,1.0,0.521,1.0,1.0,1.0
81,citrus.csv,Missing,0.8,diameter,SGDClassifier,0.9985,,0.9971,1.0,0.9985
82,citrus.csv,Missing,0.8,diameter,GaussianNB,0.954,0.4787,0.9621,0.9491,0.9556
83,citrus.csv,Missing,0.8,diameter,SVC,0.5105,0.342,0.0477,1.0,0.091
84,citrus.csv,Missing,0.8,diameter,DummyClassifier,0.486,0.5,0.0,0.0,0.0
85,citrus.csv,Missing,0.2,weight,KNeighborsClassifier,1.0,0.5,1.0,1.0,1.0
86,citrus.csv,Missing,0.2,weight,RandomForestClassifier,1.0,0.5038,1.0,1.0,1.0
