",",experiment_run,datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1,AMI,SILHOUETTE,K
48,7,satimage_sample3600.csv,missing,0.9,[Aattr],BIRCH,,,,,,0.4999,0.2844,6.0
49,7,satimage_sample3600.csv,missing,0.9,[Aattr],Hierarchical Clustering,,,,,,0.5372,0.3359,6.0
50,7,satimage_sample3600.csv,missing,0.1,[Cattr],K-Means,,,,,,0.4732,0.3197,6.0
51,7,satimage_sample3600.csv,missing,0.1,[Cattr],HDBSCAN,,,,,,0.245,0.293,4.0
52,7,satimage_sample3600.csv,missing,0.1,[Cattr],Gaussian Mixture Model,,,,,,0.4964,0.1011,6.0
53,7,satimage_sample3600.csv,missing,0.1,[Cattr],BIRCH,,,,,,0.4731,0.2951,6.0
54,7,satimage_sample3600.csv,missing,0.1,[Cattr],Hierarchical Clustering,,,,,,0.5901,0.3492,6.0
55,7,satimage_sample3600.csv,missing,0.2,[Cattr],K-Means,,,,,,0.4693,0.3168,6.0
56,7,satimage_sample3600.csv,missing,0.2,[Cattr],HDBSCAN,,,,,,0.246,0.2159,4.0
57,7,satimage_sample3600.csv,missing,0.2,[Cattr],Gaussian Mixture Model,,,,,,0.4774,0.0297,6.0
58,7,satimage_sample3600.csv,missing,0.2,[Cattr],BIRCH,,,,,,0.4713,0.2582,6.0
59,7,satimage_sample3600.csv,missing,0.2,[Cattr],Hierarchical Clustering,,,,,,0.5588,0.3403,6.0
60,7,satimage_sample3600.csv,missing,0.3,[Cattr],K-Means,,,,,,0.5855,0.3511,6.0
61,7,satimage_sample3600.csv,missing,0.3,[Cattr],HDBSCAN,,,,,,0.2494,0.3213,3.0
62,7,satimage_sample3600.csv,missing,0.3,[Cattr],Gaussian Mixture Model,,,,,,0.5023,0.0544,6.0
63,7,satimage_sample3600.csv,missing,0.3,[Cattr],BIRCH,,,,,,0.5861,0.3058,6.0
64,7,satimage_sample3600.csv,missing,0.3,[Cattr],Hierarchical Clustering,,,,,,0.5763,0.3534,6.0
65,7,satimage_sample3600.csv,missing,0.4,[Cattr],K-Means,,,,,,0.5299,0.3327,6.0
66,7,satimage_sample3600.csv,missing,0.4,[Cattr],HDBSCAN,,,,,,0.2484,0.2817,3.0
67,7,satimage_sample3600.csv,missing,0.4,[Cattr],Gaussian Mixture Model,,,,,,0.5252,0.1642,6.0
68,7,satimage_sample3600.csv,missing,0.4,[Cattr],BIRCH,,,,,,0.5252,0.3145,6.0
69,7,satimage_sample3600.csv,missing,0.4,[Cattr],Hierarchical Clustering,,,,,,0.5932,0.3459,6.0
70,7,satimage_sample3600.csv,missing,0.5,[Cattr],K-Means,,,,,,0.5888,0.3508,6.0
71,7,satimage_sample3600.csv,missing,0.5,[Cattr],HDBSCAN,,,,,,0.257,0.4988,2.0
72,7,satimage_sample3600.csv,missing,0.5,[Cattr],Gaussian Mixture Model,,,,,,0.53,0.166,6.0
73,7,satimage_sample3600.csv,missing,0.5,[Cattr],BIRCH,,,,,,0.4666,0.3179,6.0
74,7,satimage_sample3600.csv,missing,0.5,[Cattr],Hierarchical Clustering,,,,,,0.5901,0.3498,6.0
75,7,satimage_sample3600.csv,missing,0.6,[Cattr],K-Means,,,,,,0.5954,0.3509,6.0
76,7,satimage_sample3600.csv,missing,0.6,[Cattr],HDBSCAN,,,,,,0.2425,0.3107,3.0
77,7,satimage_sample3600.csv,missing,0.6,[Cattr],Gaussian Mixture Model,,,,,,0.5664,0.1117,5.0
78,7,satimage_sample3600.csv,missing,0.6,[Cattr],BIRCH,,,,,,0.5885,0.2987,6.0
79,7,satimage_sample3600.csv,missing,0.6,[Cattr],Hierarchical Clustering,,,,,,0.5742,0.3483,6.0
80,7,satimage_sample3600.csv,missing,0.7,[Cattr],K-Means,,,,,,0.5215,0.3303,6.0
81,7,satimage_sample3600.csv,missing,0.7,[Cattr],HDBSCAN,,,,,,0.2494,0.3213,3.0
82,7,satimage_sample3600.csv,missing,0.7,[Cattr],Gaussian Mixture Model,,,,,,0.541,0.1142,5.0
83,7,satimage_sample3600.csv,missing,0.7,[Cattr],BIRCH,,,,,,0.5068,0.2578,6.0
84,7,satimage_sample3600.csv,missing,0.7,[Cattr],Hierarchical Clustering,,,,,,0.5831,0.3504,6.0
85,7,satimage_sample3600.csv,missing,0.8,[Cattr],K-Means,,,,,,0.5215,0.329,6.0
86,7,satimage_sample3600.csv,missing,0.8,[Cattr],HDBSCAN,,,,,,0.2316,0.31,4.0
87,7,satimage_sample3600.csv,missing,0.8,[Cattr],Gaussian Mixture Model,,,,,,0.5729,0.1469,5.0
88,7,satimage_sample3600.csv,missing,0.8,[Cattr],BIRCH,,,,,,0.4703,0.2831,6.0
89,7,satimage_sample3600.csv,missing,0.8,[Cattr],Hierarchical Clustering,,,,,,0.5805,0.3447,6.0
90,7,satimage_sample3600.csv,missing,0.9,[Cattr],K-Means,,,,,,0.4734,0.3194,6.0
91,7,satimage_sample3600.csv,missing,0.9,[Cattr],HDBSCAN,,,,,,0.2444,0.3211,3.0
92,7,satimage_sample3600.csv,missing,0.9,[Cattr],Gaussian Mixture Model,,,,,,0.4631,0.3327,4.0
93,7,satimage_sample3600.csv,missing,0.9,[Cattr],BIRCH,,,,,,0.5894,0.3091,6.0
94,7,satimage_sample3600.csv,missing,0.9,[Cattr],Hierarchical Clustering,,,,,,0.5868,0.344,6.0
95,7,satimage_sample3600.csv,missing,0.1,[Fattr],K-Means,,,,,,0.5898,0.3526,6.0
96,7,satimage_sample3600.csv,missing,0.1,[Fattr],HDBSCAN,,,,,,0.2426,0.2147,5.0
97,7,satimage_sample3600.csv,missing,0.1,[Fattr],Gaussian Mixture Model,,,,,,0.4958,0.0746,6.0
98,7,satimage_sample3600.csv,missing,0.1,[Fattr],BIRCH,,,,,,0.4707,0.3025,6.0
99,7,satimage_sample3600.csv,missing,0.1,[Fattr],Hierarchical Clustering,,,,,,0.5775,0.351,6.0
100,7,satimage_sample3600.csv,missing,0.2,[Fattr],K-Means,,,,,,0.5878,0.3524,6.0
101,7,satimage_sample3600.csv,missing,0.2,[Fattr],HDBSCAN,,,,,,0.2426,0.2147,5.0
102,7,satimage_sample3600.csv,missing,0.2,[Fattr],Gaussian Mixture Model,,,,,,0.5171,0.1338,6.0
103,7,satimage_sample3600.csv,missing,0.2,[Fattr],BIRCH,,,,,,0.56,0.3199,6.0
104,7,satimage_sample3600.csv,missing,0.2,[Fattr],Hierarchical Clustering,,,,,,0.5637,0.3494,6.0
105,7,satimage_sample3600.csv,missing,0.3,[Fattr],K-Means,,,,,,0.5886,0.3522,6.0
106,7,satimage_sample3600.csv,missing,0.3,[Fattr],HDBSCAN,,,,,,0.2443,0.2593,4.0
107,7,satimage_sample3600.csv,missing,0.3,[Fattr],Gaussian Mixture Model,,,,,,0.5081,0.1208,6.0
108,7,satimage_sample3600.csv,missing,0.3,[Fattr],BIRCH,,,,,,0.5565,0.3119,6.0
109,7,satimage_sample3600.csv,missing,0.3,[Fattr],Hierarchical Clustering,,,,,,0.5602,0.3568,6.0
110,7,satimage_sample3600.csv,missing,0.4,[Fattr],K-Means,,,,,,0.5941,0.3519,6.0
111,7,satimage_sample3600.csv,missing,0.4,[Fattr],HDBSCAN,,,,,,0.2426,0.2147,5.0
112,7,satimage_sample3600.csv,missing,0.4,[Fattr],Gaussian Mixture Model,,,,,,0.56,0.2065,6.0
113,7,satimage_sample3600.csv,missing,0.4,[Fattr],BIRCH,,,,,,0.5462,0.2797,6.0
