",",experiment_run,datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1,AMI,SILHOUETTE,K
895,7,satimage_sample3600.csv,duplicate,0.8,[F30attr],K-Means,,,,,,0.5889,0.3528,6.0
896,7,satimage_sample3600.csv,duplicate,0.8,[F30attr],HDBSCAN,,,,,,0.3336,0.1856,7.0
897,7,satimage_sample3600.csv,duplicate,0.8,[F30attr],Gaussian Mixture Model,,,,,,0.4946,0.0941,6.0
898,7,satimage_sample3600.csv,duplicate,0.8,[F30attr],BIRCH,,,,,,0.4658,0.281,6.0
899,7,satimage_sample3600.csv,duplicate,0.8,[F30attr],Hierarchical Clustering,,,,,,0.5615,0.338,6.0
900,7,satimage_sample3600.csv,duplicate,0.9,[F30attr],K-Means,,,,,,0.5905,0.353,6.0
901,7,satimage_sample3600.csv,duplicate,0.9,[F30attr],HDBSCAN,,,,,,0.3333,0.1531,8.0
902,7,satimage_sample3600.csv,duplicate,0.9,[F30attr],Gaussian Mixture Model,,,,,,0.4922,0.0763,6.0
903,7,satimage_sample3600.csv,duplicate,0.9,[F30attr],BIRCH,,,,,,0.5841,0.2937,6.0
904,7,satimage_sample3600.csv,duplicate,0.9,[F30attr],Hierarchical Clustering,,,,,,0.5676,0.3396,6.0
905,7,satimage_sample3600.csv,outlier,0.1,[Aattr],K-Means,,,,,,0.5944,0.3254,6.0
906,7,satimage_sample3600.csv,outlier,0.1,[Aattr],HDBSCAN,,,,,,0.1491,0.5037,2.0
907,7,satimage_sample3600.csv,outlier,0.1,[Aattr],Gaussian Mixture Model,,,,,,0.5049,0.0609,6.0
908,7,satimage_sample3600.csv,outlier,0.1,[Aattr],BIRCH,,,,,,0.4507,0.2866,4.0
909,7,satimage_sample3600.csv,outlier,0.1,[Aattr],Hierarchical Clustering,,,,,,0.5339,0.3365,5.0
910,7,satimage_sample3600.csv,outlier,0.2,[Aattr],K-Means,,,,,,0.5514,0.4035,4.0
911,7,satimage_sample3600.csv,outlier,0.2,[Aattr],HDBSCAN,,,,,,0.256,-0.0286,5.0
912,7,satimage_sample3600.csv,outlier,0.2,[Aattr],Gaussian Mixture Model,,,,,,0.5106,0.114,4.0
913,7,satimage_sample3600.csv,outlier,0.2,[Aattr],BIRCH,,,,,,0.4231,0.3274,4.0
914,7,satimage_sample3600.csv,outlier,0.2,[Aattr],Hierarchical Clustering,,,,,,0.4309,0.3439,4.0
915,7,satimage_sample3600.csv,outlier,0.3,[Aattr],K-Means,,,,,,0.4237,0.4645,3.0
916,7,satimage_sample3600.csv,outlier,0.3,[Aattr],HDBSCAN,,,,,,0.0063,0.4165,2.0
917,7,satimage_sample3600.csv,outlier,0.3,[Aattr],Gaussian Mixture Model,,,,,,0.5039,0.0039,5.0
918,7,satimage_sample3600.csv,outlier,0.3,[Aattr],BIRCH,,,,,,0.4185,0.4492,3.0
919,7,satimage_sample3600.csv,outlier,0.3,[Aattr],Hierarchical Clustering,,,,,,0.4291,0.4611,3.0
920,7,satimage_sample3600.csv,outlier,0.4,[Aattr],K-Means,,,,,,0.4218,0.4642,3.0
921,7,satimage_sample3600.csv,outlier,0.4,[Aattr],HDBSCAN,,,,,,0.0,,1.0
922,7,satimage_sample3600.csv,outlier,0.4,[Aattr],Gaussian Mixture Model,,,,,,0.5032,-0.0111,5.0
923,7,satimage_sample3600.csv,outlier,0.4,[Aattr],BIRCH,,,,,,0.2345,0.4919,2.0
924,7,satimage_sample3600.csv,outlier,0.4,[Aattr],Hierarchical Clustering,,,,,,0.4194,0.4645,3.0
925,7,satimage_sample3600.csv,outlier,0.5,[Aattr],K-Means,,,,,,0.4097,0.4613,3.0
926,7,satimage_sample3600.csv,outlier,0.5,[Aattr],HDBSCAN,,,,,,0.447,0.1967,8.0
927,7,satimage_sample3600.csv,outlier,0.5,[Aattr],Gaussian Mixture Model,,,,,,0.3439,-0.0366,6.0
928,7,satimage_sample3600.csv,outlier,0.5,[Aattr],BIRCH,,,,,,0.2393,0.4965,2.0
929,7,satimage_sample3600.csv,outlier,0.5,[Aattr],Hierarchical Clustering,,,,,,0.3999,0.4528,3.0
930,7,satimage_sample3600.csv,outlier,0.6,[Aattr],K-Means,,,,,,0.2492,0.4982,2.0
931,7,satimage_sample3600.csv,outlier,0.6,[Aattr],HDBSCAN,,,,,,0.4479,0.283,5.0
932,7,satimage_sample3600.csv,outlier,0.6,[Aattr],Gaussian Mixture Model,,,,,,0.2904,0.0331,6.0
933,7,satimage_sample3600.csv,outlier,0.6,[Aattr],BIRCH,,,,,,0.0,,1.0
934,7,satimage_sample3600.csv,outlier,0.6,[Aattr],Hierarchical Clustering,,,,,,0.228,0.4908,2.0
935,7,satimage_sample3600.csv,outlier,0.7,[Aattr],K-Means,,,,,,0.0,,1.0
936,7,satimage_sample3600.csv,outlier,0.7,[Aattr],HDBSCAN,,,,,,0.4258,0.2099,7.0
937,7,satimage_sample3600.csv,outlier,0.7,[Aattr],Gaussian Mixture Model,,,,,,0.468,0.0084,6.0
938,7,satimage_sample3600.csv,outlier,0.7,[Aattr],BIRCH,,,,,,0.0,,1.0
939,7,satimage_sample3600.csv,outlier,0.7,[Aattr],Hierarchical Clustering,,,,,,0.0,,1.0
940,7,satimage_sample3600.csv,outlier,0.8,[Aattr],K-Means,,,,,,0.0,,1.0
941,7,satimage_sample3600.csv,outlier,0.8,[Aattr],HDBSCAN,,,,,,0.4349,0.2646,5.0
942,7,satimage_sample3600.csv,outlier,0.8,[Aattr],Gaussian Mixture Model,,,,,,0.5046,0.0746,5.0
943,7,satimage_sample3600.csv,outlier,0.8,[Aattr],BIRCH,,,,,,0.0,,1.0
944,7,satimage_sample3600.csv,outlier,0.8,[Aattr],Hierarchical Clustering,,,,,,0.0,,1.0
945,7,satimage_sample3600.csv,outlier,0.9,[Aattr],K-Means,,,,,,0.0,,1.0
946,7,satimage_sample3600.csv,outlier,0.9,[Aattr],HDBSCAN,,,,,,0.3956,0.2654,4.0
947,7,satimage_sample3600.csv,outlier,0.9,[Aattr],Gaussian Mixture Model,,,,,,0.2847,0.0266,5.0
948,7,satimage_sample3600.csv,outlier,0.9,[Aattr],BIRCH,,,,,,0.0,,1.0
949,7,satimage_sample3600.csv,outlier,0.9,[Aattr],Hierarchical Clustering,,,,,,0.2823,0.2086,2.0
950,7,satimage_sample3600.csv,outlier,0.1,[Cattr],K-Means,,,,,,0.4811,0.3297,5.0
951,7,satimage_sample3600.csv,outlier,0.1,[Cattr],HDBSCAN,,,,,,0.2144,0.5095,2.0
952,7,satimage_sample3600.csv,outlier,0.1,[Cattr],Gaussian Mixture Model,,,,,,0.5223,0.079,5.0
953,7,satimage_sample3600.csv,outlier,0.1,[Cattr],BIRCH,,,,,,0.4568,0.3264,4.0
954,7,satimage_sample3600.csv,outlier,0.1,[Cattr],Hierarchical Clustering,,,,,,0.5277,0.3441,5.0
955,7,satimage_sample3600.csv,outlier,0.2,[Cattr],K-Means,,,,,,0.42,0.3457,4.0
956,7,satimage_sample3600.csv,outlier,0.2,[Cattr],HDBSCAN,,,,,,0.4547,0.1711,11.0
957,7,satimage_sample3600.csv,outlier,0.2,[Cattr],Gaussian Mixture Model,,,,,,0.4936,0.114,4.0
958,7,satimage_sample3600.csv,outlier,0.2,[Cattr],BIRCH,,,,,,0.4108,0.4527,3.0
959,7,satimage_sample3600.csv,outlier,0.2,[Cattr],Hierarchical Clustering,,,,,,0.4495,0.3692,4.0
960,7,satimage_sample3600.csv,outlier,0.3,[Cattr],K-Means,,,,,,0.4146,0.345,4.0
961,7,satimage_sample3600.csv,outlier,0.3,[Cattr],HDBSCAN,,,,,,0.1117,0.4737,2.0
962,7,satimage_sample3600.csv,outlier,0.3,[Cattr],Gaussian Mixture Model,,,,,,0.4352,-0.0796,6.0
963,7,satimage_sample3600.csv,outlier,0.3,[Cattr],BIRCH,,,,,,0.382,0.3872,3.0
964,7,satimage_sample3600.csv,outlier,0.3,[Cattr],Hierarchical Clustering,,,,,,0.426,0.4645,3.0
965,7,satimage_sample3600.csv,outlier,0.4,[Cattr],K-Means,,,,,,0.424,0.4649,3.0
966,7,satimage_sample3600.csv,outlier,0.4,[Cattr],HDBSCAN,,,,,,0.3378,0.0207,6.0
967,7,satimage_sample3600.csv,outlier,0.4,[Cattr],Gaussian Mixture Model,,,,,,0.4024,0.2699,4.0
968,7,satimage_sample3600.csv,outlier,0.4,[Cattr],BIRCH,,,,,,0.4036,0.4404,3.0
969,7,satimage_sample3600.csv,outlier,0.4,[Cattr],Hierarchical Clustering,,,,,,0.4175,0.4631,3.0
970,7,satimage_sample3600.csv,outlier,0.5,[Cattr],K-Means,,,,,,0.4154,0.4526,3.0
971,7,satimage_sample3600.csv,outlier,0.5,[Cattr],HDBSCAN,,,,,,0.4412,0.2085,7.0
972,7,satimage_sample3600.csv,outlier,0.5,[Cattr],Gaussian Mixture Model,,,,,,0.3583,-0.025,6.0
973,7,satimage_sample3600.csv,outlier,0.5,[Cattr],BIRCH,,,,,,0.2417,0.4868,2.0
974,7,satimage_sample3600.csv,outlier,0.5,[Cattr],Hierarchical Clustering,,,,,,0.3613,0.435,3.0
975,7,satimage_sample3600.csv,outlier,0.6,[Cattr],K-Means,,,,,,0.0007,0.3084,2.0
976,7,satimage_sample3600.csv,outlier,0.6,[Cattr],HDBSCAN,,,,,,0.4374,0.2432,7.0
977,7,satimage_sample3600.csv,outlier,0.6,[Cattr],Gaussian Mixture Model,,,,,,0.275,0.0258,5.0
978,7,satimage_sample3600.csv,outlier,0.6,[Cattr],BIRCH,,,,,,0.0,,1.0
979,7,satimage_sample3600.csv,outlier,0.6,[Cattr],Hierarchical Clustering,,,,,,0.0023,0.2496,2.0
980,7,satimage_sample3600.csv,outlier,0.7,[Cattr],K-Means,,,,,,0.0,,1.0
981,7,satimage_sample3600.csv,outlier,0.7,[Cattr],HDBSCAN,,,,,,0.4405,0.2783,6.0
982,7,satimage_sample3600.csv,outlier,0.7,[Cattr],Gaussian Mixture Model,,,,,,0.4756,0.1069,5.0
983,7,satimage_sample3600.csv,outlier,0.7,[Cattr],BIRCH,,,,,,0.0,,1.0
984,7,satimage_sample3600.csv,outlier,0.7,[Cattr],Hierarchical Clustering,,,,,,0.0155,0.1883,2.0
985,7,satimage_sample3600.csv,outlier,0.8,[Cattr],K-Means,,,,,,0.0007,0.4722,2.0
986,7,satimage_sample3600.csv,outlier,0.8,[Cattr],HDBSCAN,,,,,,0.4351,0.2658,6.0
987,7,satimage_sample3600.csv,outlier,0.8,[Cattr],Gaussian Mixture Model,,,,,,0.4811,0.0798,5.0
988,7,satimage_sample3600.csv,outlier,0.8,[Cattr],BIRCH,,,,,,0.0,,1.0
989,7,satimage_sample3600.csv,outlier,0.8,[Cattr],Hierarchical Clustering,,,,,,0.0,,1.0
990,7,satimage_sample3600.csv,outlier,0.9,[Cattr],K-Means,,,,,,0.0,,1.0
991,7,satimage_sample3600.csv,outlier,0.9,[Cattr],HDBSCAN,,,,,,0.4072,0.2644,7.0
992,7,satimage_sample3600.csv,outlier,0.9,[Cattr],Gaussian Mixture Model,,,,,,0.4868,0.0823,5.0
993,7,satimage_sample3600.csv,outlier,0.9,[Cattr],BIRCH,,,,,,0.0,,1.0
994,7,satimage_sample3600.csv,outlier,0.9,[Cattr],Hierarchical Clustering,,,,,,0.0,,1.0
995,7,satimage_sample3600.csv,outlier,0.1,[Fattr],K-Means,,,,,,0.5735,0.3469,6.0
996,7,satimage_sample3600.csv,outlier,0.1,[Fattr],HDBSCAN,,,,,,0.3509,0.0653,7.0
997,7,satimage_sample3600.csv,outlier,0.1,[Fattr],Gaussian Mixture Model,,,,,,0.5329,0.0523,6.0
998,7,satimage_sample3600.csv,outlier,0.1,[Fattr],BIRCH,,,,,,0.4489,0.3099,5.0
999,7,satimage_sample3600.csv,outlier,0.1,[Fattr],Hierarchical Clustering,,,,,,0.4298,0.347,4.0
1000,7,satimage_sample3600.csv,outlier,0.2,[Fattr],K-Means,,,,,,0.4286,0.3458,4.0
1001,7,satimage_sample3600.csv,outlier,0.2,[Fattr],HDBSCAN,,,,,,0.2619,0.0891,5.0
1002,7,satimage_sample3600.csv,outlier,0.2,[Fattr],Gaussian Mixture Model,,,,,,0.4026,0.1549,5.0
1003,7,satimage_sample3600.csv,outlier,0.2,[Fattr],BIRCH,,,,,,0.4107,0.3174,4.0
1004,7,satimage_sample3600.csv,outlier,0.2,[Fattr],Hierarchical Clustering,,,,,,0.5578,0.3701,5.0
1005,7,satimage_sample3600.csv,outlier,0.3,[Fattr],K-Means,,,,,,0.5503,0.402,4.0
1006,7,satimage_sample3600.csv,outlier,0.3,[Fattr],HDBSCAN,,,,,,0.2626,0.0888,4.0
1007,7,satimage_sample3600.csv,outlier,0.3,[Fattr],Gaussian Mixture Model,,,,,,0.498,0.0527,5.0
1008,7,satimage_sample3600.csv,outlier,0.3,[Fattr],BIRCH,,,,,,0.372,0.4032,3.0
1009,7,satimage_sample3600.csv,outlier,0.3,[Fattr],Hierarchical Clustering,,,,,,0.4082,0.3437,4.0
1010,7,satimage_sample3600.csv,outlier,0.4,[Fattr],K-Means,,,,,,0.4352,0.3469,4.0
1011,7,satimage_sample3600.csv,outlier,0.4,[Fattr],HDBSCAN,,,,,,0.3377,0.0537,5.0
1012,7,satimage_sample3600.csv,outlier,0.4,[Fattr],Gaussian Mixture Model,,,,,,0.3782,0.036,5.0
1013,7,satimage_sample3600.csv,outlier,0.4,[Fattr],BIRCH,,,,,,0.2523,0.4957,2.0
1014,7,satimage_sample3600.csv,outlier,0.4,[Fattr],Hierarchical Clustering,,,,,,0.4134,0.452,3.0
1015,7,satimage_sample3600.csv,outlier,0.5,[Fattr],K-Means,,,,,,0.252,0.5005,2.0
1016,7,satimage_sample3600.csv,outlier,0.5,[Fattr],HDBSCAN,,,,,,0.2601,0.0851,4.0
1017,7,satimage_sample3600.csv,outlier,0.5,[Fattr],Gaussian Mixture Model,,,,,,0.321,-0.0836,6.0
1018,7,satimage_sample3600.csv,outlier,0.5,[Fattr],BIRCH,,,,,,0.21,0.5017,2.0
1019,7,satimage_sample3600.csv,outlier,0.5,[Fattr],Hierarchical Clustering,,,,,,0.2543,0.4965,2.0
1020,7,satimage_sample3600.csv,outlier,0.6,[Fattr],K-Means,,,,,,0.2326,0.4998,2.0
1021,7,satimage_sample3600.csv,outlier,0.6,[Fattr],HDBSCAN,,,,,,0.3363,0.0661,4.0
1022,7,satimage_sample3600.csv,outlier,0.6,[Fattr],Gaussian Mixture Model,,,,,,0.286,-0.0902,5.0
1023,7,satimage_sample3600.csv,outlier,0.6,[Fattr],BIRCH,,,,,,0.2495,0.4922,2.0
1024,7,satimage_sample3600.csv,outlier,0.6,[Fattr],Hierarchical Clustering,,,,,,0.0,,1.0
1025,7,satimage_sample3600.csv,outlier,0.7,[Fattr],K-Means,,,,,,0.0,,1.0
1026,7,satimage_sample3600.csv,outlier,0.7,[Fattr],HDBSCAN,,,,,,0.2592,0.1933,3.0
1027,7,satimage_sample3600.csv,outlier,0.7,[Fattr],Gaussian Mixture Model,,,,,,0.2991,-0.1028,5.0
1028,7,satimage_sample3600.csv,outlier,0.7,[Fattr],BIRCH,,,,,,0.0,,1.0
1029,7,satimage_sample3600.csv,outlier,0.7,[Fattr],Hierarchical Clustering,,,,,,0.1971,0.4958,2.0
1030,7,satimage_sample3600.csv,outlier,0.8,[Fattr],K-Means,,,,,,0.0,,1.0
1031,7,satimage_sample3600.csv,outlier,0.8,[Fattr],HDBSCAN,,,,,,0.2636,0.1912,3.0
1032,7,satimage_sample3600.csv,outlier,0.8,[Fattr],Gaussian Mixture Model,,,,,,0.4865,0.1162,4.0
1033,7,satimage_sample3600.csv,outlier,0.8,[Fattr],BIRCH,,,,,,0.0,,1.0
1034,7,satimage_sample3600.csv,outlier,0.8,[Fattr],Hierarchical Clustering,,,,,,0.0,,1.0
1035,7,satimage_sample3600.csv,outlier,0.9,[Fattr],K-Means,,,,,,0.0,,1.0
1036,7,satimage_sample3600.csv,outlier,0.9,[Fattr],HDBSCAN,,,,,,0.2597,0.1965,3.0
1037,7,satimage_sample3600.csv,outlier,0.9,[Fattr],Gaussian Mixture Model,,,,,,0.4787,-0.0383,6.0
1038,7,satimage_sample3600.csv,outlier,0.9,[Fattr],BIRCH,,,,,,0.2852,0.4032,2.0
1039,7,satimage_sample3600.csv,outlier,0.9,[Fattr],Hierarchical Clustering,,,,,,0.2741,0.3834,2.0
1040,7,satimage_sample3600.csv,outlier,0.1,[C9attr],K-Means,,,,,,0.5809,0.352,6.0
1041,7,satimage_sample3600.csv,outlier,0.1,[C9attr],HDBSCAN,,,,,,0.387,0.101,7.0
1042,7,satimage_sample3600.csv,outlier,0.1,[C9attr],Gaussian Mixture Model,,,,,,0.5446,0.0706,6.0
1043,7,satimage_sample3600.csv,outlier,0.1,[C9attr],BIRCH,,,,,,0.4495,0.3,4.0
1044,7,satimage_sample3600.csv,outlier,0.1,[C9attr],Hierarchical Clustering,,,,,,0.5299,0.3284,5.0
1045,7,satimage_sample3600.csv,outlier,0.2,[C9attr],K-Means,,,,,,0.5462,0.4022,4.0
1046,7,satimage_sample3600.csv,outlier,0.2,[C9attr],HDBSCAN,,,,,,0.3189,-0.0351,7.0
1047,7,satimage_sample3600.csv,outlier,0.2,[C9attr],Gaussian Mixture Model,,,,,,0.4956,0.1129,4.0
1048,7,satimage_sample3600.csv,outlier,0.2,[C9attr],BIRCH,,,,,,0.4087,0.4381,3.0
1049,7,satimage_sample3600.csv,outlier,0.2,[C9attr],Hierarchical Clustering,,,,,,0.4253,0.3435,4.0
1050,7,satimage_sample3600.csv,outlier,0.3,[C9attr],K-Means,,,,,,0.4277,0.4645,3.0
1051,7,satimage_sample3600.csv,outlier,0.3,[C9attr],HDBSCAN,,,,,,0.4411,0.2569,7.0
1052,7,satimage_sample3600.csv,outlier,0.3,[C9attr],Gaussian Mixture Model,,,,,,0.4892,0.0456,6.0
1053,7,satimage_sample3600.csv,outlier,0.3,[C9attr],BIRCH,,,,,,0.4283,0.4535,3.0
1054,7,satimage_sample3600.csv,outlier,0.3,[C9attr],Hierarchical Clustering,,,,,,0.4229,0.4605,3.0
1055,7,satimage_sample3600.csv,outlier,0.4,[C9attr],K-Means,,,,,,0.4308,0.4649,3.0
1056,7,satimage_sample3600.csv,outlier,0.4,[C9attr],HDBSCAN,,,,,,0.4454,0.2534,7.0
1057,7,satimage_sample3600.csv,outlier,0.4,[C9attr],Gaussian Mixture Model,,,,,,0.3384,0.0486,6.0
1058,7,satimage_sample3600.csv,outlier,0.4,[C9attr],BIRCH,,,,,,0.2233,0.5032,2.0
1059,7,satimage_sample3600.csv,outlier,0.4,[C9attr],Hierarchical Clustering,,,,,,0.4274,0.4646,3.0
1060,7,satimage_sample3600.csv,outlier,0.5,[C9attr],K-Means,,,,,,0.4203,0.4415,3.0
1061,7,satimage_sample3600.csv,outlier,0.5,[C9attr],HDBSCAN,,,,,,0.4375,0.2556,6.0
1062,7,satimage_sample3600.csv,outlier,0.5,[C9attr],Gaussian Mixture Model,,,,,,0.3647,-0.0452,6.0
1063,7,satimage_sample3600.csv,outlier,0.5,[C9attr],BIRCH,,,,,,0.2951,0.3624,2.0
1064,7,satimage_sample3600.csv,outlier,0.5,[C9attr],Hierarchical Clustering,,,,,,0.2889,0.3698,2.0
1065,7,satimage_sample3600.csv,outlier,0.6,[C9attr],K-Means,,,,,,0.0,,1.0
1066,7,satimage_sample3600.csv,outlier,0.6,[C9attr],HDBSCAN,,,,,,0.442,0.2761,5.0
1067,7,satimage_sample3600.csv,outlier,0.6,[C9attr],Gaussian Mixture Model,,,,,,0.2844,-0.0305,5.0
1068,7,satimage_sample3600.csv,outlier,0.6,[C9attr],BIRCH,,,,,,0.0,,1.0
1069,7,satimage_sample3600.csv,outlier,0.6,[C9attr],Hierarchical Clustering,,,,,,0.2936,0.3692,2.0
1070,7,satimage_sample3600.csv,outlier,0.7,[C9attr],K-Means,,,,,,0.0063,0.3058,2.0
1071,7,satimage_sample3600.csv,outlier,0.7,[C9attr],HDBSCAN,,,,,,0.444,0.2746,5.0
1072,7,satimage_sample3600.csv,outlier,0.7,[C9attr],Gaussian Mixture Model,,,,,,0.3341,-0.05,6.0
1073,7,satimage_sample3600.csv,outlier,0.7,[C9attr],BIRCH,,,,,,0.0,,1.0
1074,7,satimage_sample3600.csv,outlier,0.7,[C9attr],Hierarchical Clustering,,,,,,0.0,,1.0
1075,7,satimage_sample3600.csv,outlier,0.8,[C9attr],K-Means,,,,,,0.0,,1.0
1076,7,satimage_sample3600.csv,outlier,0.8,[C9attr],HDBSCAN,,,,,,0.4242,0.2451,5.0
1077,7,satimage_sample3600.csv,outlier,0.8,[C9attr],Gaussian Mixture Model,,,,,,0.3295,-0.0114,5.0
1078,7,satimage_sample3600.csv,outlier,0.8,[C9attr],BIRCH,,,,,,0.0,,1.0
1079,7,satimage_sample3600.csv,outlier,0.8,[C9attr],Hierarchical Clustering,,,,,,0.0,,1.0
1080,7,satimage_sample3600.csv,outlier,0.9,[C9attr],K-Means,,,,,,0.0,,1.0
1081,7,satimage_sample3600.csv,outlier,0.9,[C9attr],HDBSCAN,,,,,,0.4973,0.2596,6.0
1082,7,satimage_sample3600.csv,outlier,0.9,[C9attr],Gaussian Mixture Model,,,,,,0.2577,0.0413,4.0
1083,7,satimage_sample3600.csv,outlier,0.9,[C9attr],BIRCH,,,,,,0.0,,1.0
1084,7,satimage_sample3600.csv,outlier,0.9,[C9attr],Hierarchical Clustering,,,,,,0.2518,0.2856,2.0
1085,7,satimage_sample3600.csv,outlier,0.1,[F12attr],K-Means,,,,,,0.5262,0.3407,5.0
1086,7,satimage_sample3600.csv,outlier,0.1,[F12attr],HDBSCAN,,,,,,0.2935,0.0554,5.0
1087,7,satimage_sample3600.csv,outlier,0.1,[F12attr],Gaussian Mixture Model,,,,,,0.5487,0.1693,5.0
1088,7,satimage_sample3600.csv,outlier,0.1,[F12attr],BIRCH,,,,,,0.4024,0.3144,4.0
1089,7,satimage_sample3600.csv,outlier,0.1,[F12attr],Hierarchical Clustering,,,,,,0.545,0.3437,5.0
1090,7,satimage_sample3600.csv,outlier,0.2,[F12attr],K-Means,,,,,,0.4299,0.3455,4.0
1091,7,satimage_sample3600.csv,outlier,0.2,[F12attr],HDBSCAN,,,,,,0.2568,0.0621,4.0
1092,7,satimage_sample3600.csv,outlier,0.2,[F12attr],Gaussian Mixture Model,,,,,,0.3974,0.142,5.0
1093,7,satimage_sample3600.csv,outlier,0.2,[F12attr],BIRCH,,,,,,0.4251,0.4342,3.0
1094,7,satimage_sample3600.csv,outlier,0.2,[F12attr],Hierarchical Clustering,,,,,,0.43,0.3472,4.0
1095,7,satimage_sample3600.csv,outlier,0.3,[F12attr],K-Means,,,,,,0.431,0.3459,4.0
1096,7,satimage_sample3600.csv,outlier,0.3,[F12attr],HDBSCAN,,,,,,0.2476,0.2826,3.0
1097,7,satimage_sample3600.csv,outlier,0.3,[F12attr],Gaussian Mixture Model,,,,,,0.3924,0.1444,5.0
1098,7,satimage_sample3600.csv,outlier,0.3,[F12attr],BIRCH,,,,,,0.4052,0.4479,3.0
1099,7,satimage_sample3600.csv,outlier,0.3,[F12attr],Hierarchical Clustering,,,,,,0.4168,0.4626,3.0
1100,7,satimage_sample3600.csv,outlier,0.4,[F12attr],K-Means,,,,,,0.4224,0.4648,3.0
1101,7,satimage_sample3600.csv,outlier,0.4,[F12attr],HDBSCAN,,,,,,0.309,0.0986,5.0
1102,7,satimage_sample3600.csv,outlier,0.4,[F12attr],Gaussian Mixture Model,,,,,,0.5009,0.1267,4.0
1103,7,satimage_sample3600.csv,outlier,0.4,[F12attr],BIRCH,,,,,,0.2144,0.5111,2.0
1104,7,satimage_sample3600.csv,outlier,0.4,[F12attr],Hierarchical Clustering,,,,,,0.4302,0.4649,3.0
1105,7,satimage_sample3600.csv,outlier,0.5,[F12attr],K-Means,,,,,,0.252,0.5005,2.0
1106,7,satimage_sample3600.csv,outlier,0.5,[F12attr],HDBSCAN,,,,,,0.2508,0.2887,3.0
1107,7,satimage_sample3600.csv,outlier,0.5,[F12attr],Gaussian Mixture Model,,,,,,0.3025,-0.1603,6.0
1108,7,satimage_sample3600.csv,outlier,0.5,[F12attr],BIRCH,,,,,,0.2371,0.5064,2.0
1109,7,satimage_sample3600.csv,outlier,0.5,[F12attr],Hierarchical Clustering,,,,,,0.4262,0.464,3.0
1110,7,satimage_sample3600.csv,outlier,0.6,[F12attr],K-Means,,,,,,0.2543,0.4965,2.0
1111,7,satimage_sample3600.csv,outlier,0.6,[F12attr],HDBSCAN,,,,,,0.2508,0.2887,3.0
1112,7,satimage_sample3600.csv,outlier,0.6,[F12attr],Gaussian Mixture Model,,,,,,0.2732,-0.1074,5.0
1113,7,satimage_sample3600.csv,outlier,0.6,[F12attr],BIRCH,,,,,,0.0,,1.0
1114,7,satimage_sample3600.csv,outlier,0.6,[F12attr],Hierarchical Clustering,,,,,,0.2518,0.46,2.0
1115,7,satimage_sample3600.csv,outlier,0.7,[F12attr],K-Means,,,,,,0.193,0.5104,2.0
1116,7,satimage_sample3600.csv,outlier,0.7,[F12attr],HDBSCAN,,,,,,0.2508,0.2887,3.0
1117,7,satimage_sample3600.csv,outlier,0.7,[F12attr],Gaussian Mixture Model,,,,,,0.4605,0.1031,4.0
1118,7,satimage_sample3600.csv,outlier,0.7,[F12attr],BIRCH,,,,,,0.0,,1.0
1119,7,satimage_sample3600.csv,outlier,0.7,[F12attr],Hierarchical Clustering,,,,,,0.2544,0.4493,2.0
1120,7,satimage_sample3600.csv,outlier,0.8,[F12attr],K-Means,,,,,,0.0,,1.0
1121,7,satimage_sample3600.csv,outlier,0.8,[F12attr],HDBSCAN,,,,,,0.2508,0.2887,3.0
1122,7,satimage_sample3600.csv,outlier,0.8,[F12attr],Gaussian Mixture Model,,,,,,0.4593,0.1018,4.0
1123,7,satimage_sample3600.csv,outlier,0.8,[F12attr],BIRCH,,,,,,0.2445,0.4951,2.0
1124,7,satimage_sample3600.csv,outlier,0.8,[F12attr],Hierarchical Clustering,,,,,,0.2477,0.4787,2.0
1125,7,satimage_sample3600.csv,outlier,0.9,[F12attr],K-Means,,,,,,0.0,,1.0
1126,7,satimage_sample3600.csv,outlier,0.9,[F12attr],HDBSCAN,,,,,,0.247,0.5016,2.0
1127,7,satimage_sample3600.csv,outlier,0.9,[F12attr],Gaussian Mixture Model,,,,,,0.4644,0.0864,5.0
1128,7,satimage_sample3600.csv,outlier,0.9,[F12attr],BIRCH,,,,,,0.2393,0.497,2.0
1129,7,satimage_sample3600.csv,outlier,0.9,[F12attr],Hierarchical Clustering,,,,,,0.323,0.3896,2.0
1130,7,satimage_sample3600.csv,outlier,0.1,[A13attr],K-Means,,,,,,0.483,0.3296,5.0
1131,7,satimage_sample3600.csv,outlier,0.1,[A13attr],HDBSCAN,,,,,,0.4502,0.0175,11.0
1132,7,satimage_sample3600.csv,outlier,0.1,[A13attr],Gaussian Mixture Model,,,,,,0.4495,0.2114,5.0
1133,7,satimage_sample3600.csv,outlier,0.1,[A13attr],BIRCH,,,,,,0.3964,0.2841,4.0
1134,7,satimage_sample3600.csv,outlier,0.1,[A13attr],Hierarchical Clustering,,,,,,0.5335,0.337,5.0
1135,7,satimage_sample3600.csv,outlier,0.2,[A13attr],K-Means,,,,,,0.4223,0.346,4.0
1136,7,satimage_sample3600.csv,outlier,0.2,[A13attr],HDBSCAN,,,,,,0.3285,0.0163,6.0
1137,7,satimage_sample3600.csv,outlier,0.2,[A13attr],Gaussian Mixture Model,,,,,,0.4912,0.1152,4.0
1138,7,satimage_sample3600.csv,outlier,0.2,[A13attr],BIRCH,,,,,,0.3913,0.4077,4.0
