",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
46,hypertension_data.csv,Outlier,0.8,trestbps,RandomForestClassifier,1.0,0.5105,1.0,1.0,1.0
47,hypertension_data.csv,Outlier,0.8,trestbps,ExtraTreesClassifier,1.0,0.5045,1.0,1.0,1.0
48,hypertension_data.csv,Outlier,0.8,trestbps,CatBoostClassifier,1.0,0.4659,1.0,1.0,1.0
49,hypertension_data.csv,Outlier,0.8,trestbps,GradientBoostingClassifier,0.9795,0.4613,0.9944,0.9688,0.9814
50,hypertension_data.csv,Outlier,0.8,trestbps,AdaBoostClassifier,0.9015,0.4448,0.9045,0.9136,0.909
51,hypertension_data.csv,Outlier,0.8,trestbps,QuadraticDiscriminantAnalysis,0.8516,0.3332,0.8728,0.8571,0.8649
52,hypertension_data.csv,Outlier,0.8,trestbps,LogisticRegression,0.8444,0.4131,0.9007,0.8283,0.863
53,hypertension_data.csv,Outlier,0.8,trestbps,RidgeClassifier,0.8396,,0.9081,0.8174,0.8603
54,hypertension_data.csv,Outlier,0.8,trestbps,LinearDiscriminantAnalysis,0.8394,0.4812,0.9077,0.8173,0.8601
55,hypertension_data.csv,Outlier,0.8,trestbps,GaussianNB,0.835,0.374,0.8623,0.8389,0.8504
56,hypertension_data.csv,Outlier,0.8,trestbps,MLPClassifier,0.8375,0.6154,0.9412,0.7969,0.863
57,hypertension_data.csv,Outlier,0.8,trestbps,KNeighborsClassifier,0.8998,0.5447,0.9186,0.8993,0.9089
58,hypertension_data.csv,Outlier,0.8,trestbps,SGDClassifier,0.6889,,0.9965,0.6369,0.7771
59,hypertension_data.csv,Outlier,0.8,trestbps,DummyClassifier,0.5442,0.5,1.0,0.5442,0.7048
60,hypertension_data.csv,Outlier,0.2,oldpeak,CatBoostClassifier,1.0,0.4796,1.0,1.0,1.0
61,hypertension_data.csv,Outlier,0.2,oldpeak,ExtraTreesClassifier,1.0,0.5166,1.0,1.0,1.0
62,hypertension_data.csv,Outlier,0.2,oldpeak,RandomForestClassifier,1.0,0.5248,1.0,1.0,1.0
63,hypertension_data.csv,Outlier,0.2,oldpeak,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
64,hypertension_data.csv,Outlier,0.2,oldpeak,GradientBoostingClassifier,0.976,0.4882,0.9923,0.9647,0.9783
65,hypertension_data.csv,Outlier,0.2,oldpeak,AdaBoostClassifier,0.8836,0.4766,0.8908,0.8949,0.8929
66,hypertension_data.csv,Outlier,0.2,oldpeak,QuadraticDiscriminantAnalysis,0.848,0.343,0.864,0.8577,0.8609
67,hypertension_data.csv,Outlier,0.2,oldpeak,LinearDiscriminantAnalysis,0.8352,0.4821,0.8968,0.8179,0.8555
68,hypertension_data.csv,Outlier,0.2,oldpeak,RidgeClassifier,0.8353,,0.8971,0.8179,0.8557
69,hypertension_data.csv,Outlier,0.2,oldpeak,LogisticRegression,0.8271,0.4383,0.8588,0.8295,0.8439
70,hypertension_data.csv,Outlier,0.2,oldpeak,GaussianNB,0.8208,0.3877,0.8662,0.8159,0.8403
71,hypertension_data.csv,Outlier,0.2,oldpeak,MLPClassifier,0.8256,0.6298,0.9306,0.7875,0.8531
72,hypertension_data.csv,Outlier,0.2,oldpeak,KNeighborsClassifier,0.8998,0.5451,0.9183,0.8996,0.9088
73,hypertension_data.csv,Outlier,0.2,oldpeak,SGDClassifier,0.8237,,0.8538,0.8276,0.8405
74,hypertension_data.csv,Outlier,0.2,oldpeak,DummyClassifier,0.5442,0.5,1.0,0.5442,0.7048
75,hypertension_data.csv,Outlier,0.4,oldpeak,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
76,hypertension_data.csv,Outlier,0.4,oldpeak,RandomForestClassifier,1.0,0.5177,1.0,1.0,1.0
77,hypertension_data.csv,Outlier,0.4,oldpeak,CatBoostClassifier,1.0,0.4925,1.0,1.0,1.0
78,hypertension_data.csv,Outlier,0.4,oldpeak,ExtraTreesClassifier,1.0,0.5071,1.0,1.0,1.0
79,hypertension_data.csv,Outlier,0.4,oldpeak,GradientBoostingClassifier,0.9693,0.5,0.9923,0.9533,0.9724
80,hypertension_data.csv,Outlier,0.4,oldpeak,AdaBoostClassifier,0.8861,0.4867,0.8873,0.9019,0.8945
81,hypertension_data.csv,Outlier,0.4,oldpeak,QuadraticDiscriminantAnalysis,0.848,0.3408,0.863,0.8584,0.8607
82,hypertension_data.csv,Outlier,0.4,oldpeak,RidgeClassifier,0.833,,0.8908,0.8184,0.8531
83,hypertension_data.csv,Outlier,0.4,oldpeak,LinearDiscriminantAnalysis,0.833,0.4827,0.8905,0.8187,0.853
84,hypertension_data.csv,Outlier,0.4,oldpeak,LogisticRegression,0.8309,0.4413,0.8658,0.8307,0.8479
85,hypertension_data.csv,Outlier,0.4,oldpeak,GaussianNB,0.8192,0.3819,0.863,0.8156,0.8386
86,hypertension_data.csv,Outlier,0.4,oldpeak,MLPClassifier,0.8346,0.473,0.8785,0.828,0.8525
87,hypertension_data.csv,Outlier,0.4,oldpeak,KNeighborsClassifier,0.8998,0.5447,0.9183,0.8996,0.9088
88,hypertension_data.csv,Outlier,0.4,oldpeak,SGDClassifier,0.8083,,0.8982,0.782,0.8361
89,hypertension_data.csv,Outlier,0.4,oldpeak,DummyClassifier,0.5442,0.5,1.0,0.5442,0.7048
90,hypertension_data.csv,Outlier,0.6,oldpeak,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
91,hypertension_data.csv,Outlier,0.6,oldpeak,RandomForestClassifier,1.0,0.5074,1.0,1.0,1.0
92,hypertension_data.csv,Outlier,0.6,oldpeak,ExtraTreesClassifier,1.0,0.5022,1.0,1.0,1.0
93,hypertension_data.csv,Outlier,0.6,oldpeak,CatBoostClassifier,1.0,0.4996,1.0,1.0,1.0
94,hypertension_data.csv,Outlier,0.6,oldpeak,GradientBoostingClassifier,0.9734,0.4857,0.9923,0.9601,0.9759
95,hypertension_data.csv,Outlier,0.6,oldpeak,AdaBoostClassifier,0.8909,0.4807,0.8915,0.9065,0.899
96,hypertension_data.csv,Outlier,0.6,oldpeak,QuadraticDiscriminantAnalysis,0.848,0.3389,0.8623,0.8589,0.8606
97,hypertension_data.csv,Outlier,0.6,oldpeak,RidgeClassifier,0.8327,,0.889,0.8189,0.8526
98,hypertension_data.csv,Outlier,0.6,oldpeak,LinearDiscriminantAnalysis,0.8327,0.4831,0.8887,0.8192,0.8525
99,hypertension_data.csv,Outlier,0.6,oldpeak,LogisticRegression,0.8296,0.4426,0.8658,0.8287,0.8469
100,hypertension_data.csv,Outlier,0.6,oldpeak,GaussianNB,0.8189,0.3798,0.8623,0.8155,0.8382
101,hypertension_data.csv,Outlier,0.6,oldpeak,MLPClassifier,0.8365,0.4854,0.8838,0.8275,0.8547
102,hypertension_data.csv,Outlier,0.6,oldpeak,KNeighborsClassifier,0.8998,0.5442,0.9183,0.8996,0.9088
103,hypertension_data.csv,Outlier,0.6,oldpeak,SGDClassifier,0.815,,0.8366,0.8258,0.8311
104,hypertension_data.csv,Outlier,0.6,oldpeak,DummyClassifier,0.5442,0.5,1.0,0.5442,0.7048
105,hypertension_data.csv,Outlier,0.8,oldpeak,DecisionTreeClassifier,1.0,0.5,1.0,1.0,1.0
106,hypertension_data.csv,Outlier,0.8,oldpeak,RandomForestClassifier,1.0,0.5172,1.0,1.0,1.0
107,hypertension_data.csv,Outlier,0.8,oldpeak,ExtraTreesClassifier,1.0,0.5021,1.0,1.0,1.0
108,hypertension_data.csv,Outlier,0.8,oldpeak,CatBoostClassifier,1.0,0.5046,1.0,1.0,1.0
109,hypertension_data.csv,Outlier,0.8,oldpeak,GradientBoostingClassifier,0.9605,0.4936,0.9792,0.9498,0.9643
110,hypertension_data.csv,Outlier,0.8,oldpeak,AdaBoostClassifier,0.8712,0.4855,0.8654,0.8944,0.8797
111,hypertension_data.csv,Outlier,0.8,oldpeak,QuadraticDiscriminantAnalysis,0.8491,0.3367,0.8619,0.861,0.8615
112,hypertension_data.csv,Outlier,0.8,oldpeak,RidgeClassifier,0.8327,,0.8883,0.8194,0.8525
113,hypertension_data.csv,Outlier,0.8,oldpeak,LinearDiscriminantAnalysis,0.8325,0.4833,0.888,0.8193,0.8523
114,hypertension_data.csv,Outlier,0.8,oldpeak,LogisticRegression,0.829,0.4428,0.8658,0.8279,0.8464
115,hypertension_data.csv,Outlier,0.8,oldpeak,GaussianNB,0.8189,0.378,0.8623,0.8155,0.8382
116,hypertension_data.csv,Outlier,0.8,oldpeak,MLPClassifier,0.8252,0.6438,0.9334,0.7857,0.8532
117,hypertension_data.csv,Outlier,0.8,oldpeak,KNeighborsClassifier,0.8996,0.545,0.9183,0.8993,0.9087
118,hypertension_data.csv,Outlier,0.8,oldpeak,SGDClassifier,0.821,,0.9102,0.7919,0.8469
119,hypertension_data.csv,Outlier,0.8,oldpeak,DummyClassifier,0.5442,0.5,1.0,0.5442,0.7048
